id,title,description
32801,Hiến pháp Không số,Hiến pháp năm 2013
22313,Hiến pháp Không số,"Hiến pháp năm 1992 (sửa đổi, bổ sung năm 2001)"
11234,Hiến pháp Không số,Hiến pháp năm 1992
96122,Bộ luật 100/2015/QH13,Hình sự
96117,Bộ luật 95/2015/QH13,Hàng hải
96115,Bộ luật 92/2015/QH13,Tố tụng dân sự
95942,Bộ luật 91/2015/QH13,Dân sự
27615,Bộ luật 10/2012/QH13,Lao động
18131,Bộ luật 40/2005/QH11,Hàng hải Việt Nam
18128,Bộ luật 33/2005/QH11,Dân sự
19482,Bộ luật 24/2004/QH11,Tố tụng dân sự
9683,Bộ luật Không số,Dân sự
10427,Bộ luật Không số,Lao động
2066,Bộ luật 42-LCT/HĐNN8,Hàng hải
175440,Luật 64/2025/QH15,Ban hành văn bản quy phạm pháp luật
173332,Luật 61/2024/QH15,Luật Điện lực
174877,Luật 60/2024/QH15,DỮ LIỆU
174098,Luật 58/2024/QH15,Luật Đầu tư công
173974,Luật 55/2024/QH15,"PHÒNG CHÁY, CHỮA CHÁY VÀ CỨU NẠN, CỨU HỘ"
173404,Luật 57/2024/QH15,"Sửa đổi Luật Quy hoạch, Luật Đầu tư, Luật Đầu tư theo phương thức đối tác công tư và Luật Đấu thầu 2024"
173625,Luật 52/2024/QH15,"Luật sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam"
172553,Luật 50/2024/QH15,Công đoàn
172923,Luật Luật số 51/2024/QH15,Luật Bảo hiểm y tế sửa đổi 2024
173624,Luật 49/2024/QH15,Luật Phòng không nhân dân
172548,Luật 47/2024/QH15,Luật Quy hoạch đô thị và nông thôn
172799,Luật 46/2024/QH15,Công chứng
173024,Luật 45/2024/QH15,Di sản văn hóa
175084,Luật 44/2024/QH15,Luật Dược sửa đổi 2024
170609,Luật 42/2024/QH15,"Quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ"
175027,Luật 41/2024/QH15,Luật Bảo hiểm xã hội
170509,Luật 43/2024/QH15,"Sửa đổi, bổ sung một số điều của Luật Đất đai số 31/2024/QH15, Luật Nhà ở số 27/2023/QH15, Luật Kinh doanh bất động sản số 29/2023/QH15 và Luật Các tổ chức tín dụng số 32/2024/QH15"
169990,Luật 39/2024/QH15,Thủ đô
172437,Luật 38/2024/QH15,"Luật Công nghiệp quốc phòng, an ninh và động viên công nghiệp"
170620,Luật 36/2024/QH15,"Trật tự, an toàn giao thông đường bộ"
172475,Luật 35/2024/QH15,Đường bộ
