id,title,description,cat1IDs,cat2IDs,cat3IDs,cat4IDs,cat5IDs,cat6IDs,cat7IDs,cat8IDs,cat9IDs,cat10IDs,cat11IDs,cat12IDs,cat13IDs,cat14IDs,cat15IDs,cat16IDs,cat17IDs,cat18IDs
32801,Hiến pháp Không số,Hiến pháp năm 2013,,,"123002,32808,36877,46746,112351,36867,46809,46750,36891,36878,113232,112765,112004,104491,101902,101866,101864,101863,101690,101687,101684,99849,97687,97603,97216,95699,86392,79915,74634,71381,70440,70435,70432,70429,70427,70424,70299,70297,70292,70291,70290,70267,70263,70260,70191,70185,70182,70177,67831,47472,47470,47469,47468,47108,46822,46817,46814,46790,46783,46751,46749,46747,46744,46743,46742,46740,44170,44169,44168,44167,44166,43951,40742,37085,36884,36870,36869,36865,36824,36823,36793,32912,32911,32910,32909,32908,32905,101873",,,,,"535,889,1534,11234",,,"32804,32808",,,,,,,
22313,Hiến pháp Không số,"Hiến pháp năm 1992 (sửa đổi, bổ sung năm 2001)",,,"32515,28019,20996,6153,19407,17063,19468,15076,12352,70423,27621,25700,27623,15062,27305,14838,12902,12333,27698,15068,113665,113277,87428,70626,70619,70608,70600,70519,70515,70514,70508,70507,70505,70504,70486,70482,70474,70466,70463,32970,32969,30694,27308,27307,27306,27119,27118,27114,26866,26111,25819,25391,25193,25170,25164,24824,24461,24161,23856,23779,23776,22843,22842,22840,22507,22506,22472,22392,22386,22384,22382,22291,22072,21994,21957,21926,21921,21594,21216,21016,21009,21004,21002,20998,20992,20987,20984,20981,20068,19736,19714,19477,19476,19474,19473,19471,19470,19467,19465,19464,19423,19421,19417,19415,19414,19412,19408,19406,19404,19390,18854,18566,18565,18563,18562,18433,18364,18135,18134,18133,18132,18130,18129,18128,18127,18126,18125,18124,18123,18122,17855,17750,17593,17456,17069,17067,17065,16876,16872,16868,16755,16753,16750,16748,16729,16726,16718,16213,15996,15080,15078,15074,15066,15057,15052,14916,14836,14835,14834,14833,14832,14831,14830,14456,14417,14276,14166,14106,14104,14102,13914,13194,13069,13014,13003,13002,13001,12900,12898,12896,12891,12868,12661,12356,12354,6141,5756,19482,18131,19419",,,,,,,,,,,,11234,,,
11234,Hiến pháp Không số,Hiến pháp năm 1992,,,"11747,26355,11757,12319,25699,26353,10809,12324,10430,12352,10803,28064,11708,15060,12807,11743,12318,25693,25692,27615,113665,113277,113212,88201,88195,88149,87682,87428,81340,70729,70175,37088,37087,36895,32970,32969,32842,32833,31565,31497,28855,28067,28063,28062,28061,28060,28059,28058,28042,28036,28035,28034,28033,28031,28029,28027,28026,28025,28016,28015,28014,27996,27995,27994,27992,27991,27988,27986,27932,27931,27930,27708,27707,27706,27705,27704,27703,27702,27701,27700,27699,27697,27696,27695,27694,27693,27692,27691,27685,27684,27683,27655,27625,27624,27622,27617,27616,27614,27126,27125,27124,27123,27122,27121,27120,27115,26821,26820,26819,26818,26759,26741,26356,26354,26352,26351,26350,26349,26211,26117,25706,25705,25704,25703,25702,25701,25684,25682,25681,25680,25664,25504,25499,25323,24825,23725,23425,23290,23289,23262,23260,23259,23258,23229,23224,23094,22860,19411,18121,16745,16427,16208,14660,14659,13732,13731,13688,13639,12811,12810,12809,12808,12806,12805,12804,12803,12802,12801,12719,12671,12326,12281,12273,12271,12254,12067,11904,11841,11832,11831,11786,11762,11761,11760,11759,11758,11753,11752,11751,11750,11749,11746,11745,11744,11723,11717,11716,11709,11707,11706,11661,11599,11598,11235,11233,11232,11229,11226,11225,11224,10920,10919,10918,10917,10916,10915,10914,10913,10912,10911,10890,10874,10822,10821,10820,10819,10818,10817,10816,10815,10814,10812,10811,10810,10807,10805,10804,10802,10801,10798,10435,10434,10433,10431,10429,10428,10427,10426,10425,10424,10423,10422,10420,10261,10260,10259,10226,10225,10224,10083,10056,10054,9955,9954,9867,9823,9822,9707,9703,9702,9684,9683,9682,9616,9430,9429,9414,9413,9412,9263,9200,9199,9028,9027,9026,9025,9024,9023,9022,9021,9020,9019,9018,9017,8793,8728,8611,8535,8534,8533,8532,8222,8205,7978,7977,7976,7830,7804,7755,7754,7753,7752,7751,7750,7559,7557,7345,7344,7343,7339,7041,7040,7039,6773,6772,6771,6768,6761,6755,6528,6289,6161,6159,6147,6140,6118,6117,5778,5777,5766,5748,5746,5740,5586,5585,4169,6157",1534,,,,,,,32801,,,,,22313,,
96122,Bộ luật 100/2015/QH13,Hình sự,,,"128527,106194","6157,11708",32801,,,"14832,25681,25693,28015,36867,95924,95942",,,112004,,,,,122826,,122826
96117,Bộ luật 95/2015/QH13,Hàng hải,,,"127487,128841,128322,127486,126911,126566,126335,126315,126281,124211,124208,123512,122558,122536,122534,118566,118563,118533,113067,118130,118125,117409,115119,115107,114808,114805,114683,111031",18131,32801,,,27621,,,,,,,,132982,,132982
96115,Bộ luật 92/2015/QH13,Tố tụng dân sự,,,153986,"19482,26674",32801,,27615,"11743,12318,12902,18131,18564,19474,25700,26356,27615,27621,27623,30591,36870,46746,46751,70800,95942,96035",,,,,,,27615,"161263,172799,142881",,"172799,142881"
95942,Bộ luật 91/2015/QH13,Dân sự,,,"128857,123029,117532",18128,32801,,,"11743,12331,14836,16748,18128,19474,23259,26356,32833,36870,46742,46751",,,,,,,,,,
27615,Bộ luật 10/2012/QH13,Lao động,11234,,"132236,30460,48298,104288,97142,96294,95739,95717,94345,92898,92863,92335,92234,86485,84922,84379,72046,70174,70173,67713,67307,63043,48920,47036,46957,46390,45990,45972,43992,43821,43819,43643,43642,43640,40348,38278,37943,37887,37838,37750,37648,37502,37475,37445,37444,37228,36920,36860,36843,36142,36141,34095,33381,32752,32526,32399,31851,31027,30637,30598,30475,30472,30469,30468,30467,30466,27839",10427,11234,139264,,15057,96115,,,,,,,"96115,132982",,132982
18131,Bộ luật 40/2005/QH11,Hàng hải Việt Nam,22313,,"120772,37536,37666,37775,114801,114680,113474,112622,111035,105991,105986,92856,92556,92327,92236,86242,86109,82436,79412,78271,73207,72690,71574,67777,67572,66932,66786,66662,58048,46390,45079,41268,41056,40800,40150,39026,38273,38269,37921,37843,37840,37837,37836,37835,37832,37793,37792,37755,37696,37692,37665,37661,37651,37644,37492,37409,37406,36922,36038,34156,34076,34042,33955,33520,33519,33413,31731,30513,28048,28001,27756,27735,27723,27715,27419,27351,27334,27299,27225,27164,27101,27100,27053,26906,26786,26723,26698,26697,26634,26613,26588,26551,26530,26526,26518,26507,26409,25994,25720,25715,25685,25628,25408,24182,23719,23695,17437,17436,17422,17014,17002,16960,16891,16778,16775,16681,16644,16589,16588,14549,14528,14161,14023,13938,13807,13608,13605,13604,13533,13439,13410,13389,13064,12876,12875,12874,12665,12649,12399,12388,12297,12107,11863",2066,22313,96117,,,,,,,,,,,,
18128,Bộ luật 33/2005/QH11,Dân sự,22313,,"13865,14934,13190,32442,36627,25028,26170,56666,80647,111996,94335,94033,93074,85041,77316,77254,72692,72685,71332,70005,68080,66786,52378,48150,47656,45968,45079,44187,43992,41188,37908,37647,37333,36909,34150,33649,32799,30470,27812,27351,27342,27220,27054,27026,26735,26242,25965,25860,25408,25348,25271,24984,24983,24566,23722,23695,16858,15604,15145,14957,14136,14116,13232,12675,12072,11767,11698",2310,22313,95942,,,,,17597,,,,,,,
